Datetime;Resolution code;Elia Grid Load
2019-01-11T04:15:00+01:00;PT15M;8985.97
2019-01-11T04:00:00+01:00;PT15M;8881.87
2019-01-11T03:45:00+01:00;PT15M;8886.59
2019-01-11T03:30:00+01:00;PT15M;8849.94
2019-01-11T03:15:00+01:00;PT15M;8883.41
2019-01-11T03:00:00+01:00;PT15M;9011.49
2019-01-11T02:45:00+01:00;PT15M;9083.32
2019-01-11T02:30:00+01:00;PT15M;9127.11
2019-01-11T02:15:00+01:00;PT15M;9182.66
2019-01-11T02:00:00+01:00;PT15M;9164.89
2019-01-11T01:45:00+01:00;PT15M;9218.69
2019-01-11T01:30:00+01:00;PT15M;9428.69
2019-01-11T01:15:00+01:00;PT15M;9467.99
2019-01-11T01:00:00+01:00;PT15M;9579.33
2019-01-11T00:45:00+01:00;PT15M;9663.39
2019-01-11T00:30:00+01:00;PT15M;9857.25
2019-01-11T00:15:00+01:00;PT15M;10018.28
2019-01-11T00:00:00+01:00;PT15M;10060.64
2019-01-10T23:45:00+01:00;PT15M;10236.15
2019-01-10T23:30:00+01:00;PT15M;10264.03
2019-01-10T23:15:00+01:00;PT15M;10598.65
2019-01-10T23:00:00+01:00;PT15M;10783.45
2019-01-10T22:45:00+01:00;PT15M;10625.55
2019-01-10T22:30:00+01:00;PT15M;10748.85
2019-01-10T22:15:00+01:00;PT15M;10650.91
2019-01-10T22:00:00+01:00;PT15M;10504.47
2019-01-10T21:45:00+01:00;PT15M;10442.46
2019-01-10T21:30:00+01:00;PT15M;10589.0
2019-01-10T21:15:00+01:00;PT15M;10784.5
2019-01-10T21:00:00+01:00;PT15M;10930.39
2019-01-10T20:45:00+01:00;PT15M;10934.02
2019-01-10T20:30:00+01:00;PT15M;11114.29
2019-01-10T20:15:00+01:00;PT15M;11272.28
2019-01-10T20:00:00+01:00;PT15M;11434.52
2019-01-10T19:45:00+01:00;PT15M;11576.76
2019-01-10T19:30:00+01:00;PT15M;11630.33
