Datetime;Resolution code;Region;Measured & upscaled;Most recent forecast;Day Ahead 11AM Forecast;Day-ahead 6PM forecast;Week-ahead forecast;Monitored capacity;Load factor
2022-06-22T20:45:00+02:00;PT15M;Limburg;0.0;18.31;0.0;0.0;0.0;624.64;0.0
2022-06-22T20:30:00+02:00;PT15M;Belgium;0.0;269.22;0.0;0.0;0.0;6004.92;0.0
2022-06-22T20:30:00+02:00;PT15M;Brussels;0.0;5.73;0.0;0.0;0.0;128.47;0.0
2022-06-22T20:30:00+02:00;PT15M;Limburg;0.0;25.67;0.0;0.0;0.0;624.64;0.0
2022-06-22T20:30:00+02:00;PT15M;East-Flanders;0.0;55.14;0.0;0.0;0.0;1127.04;0.0
2022-06-22T20:30:00+02:00;PT15M;Flanders;0.0;204.94;0.0;0.0;0.0;4339.61;0.0
2022-06-22T20:30:00+02:00;PT15M;Wallonia;0.0;58.55;0.0;0.0;0.0;1536.84;0.0
2022-06-22T20:30:00+02:00;PT15M;Hainaut;0.0;18.43;0.0;0.0;0.0;431.13;0.0
2022-06-22T20:30:00+02:00;PT15M;Antwerp;0.0;53.12;0.0;0.0;0.0;1129.31;0.0
2022-06-22T20:30:00+02:00;PT15M;Walloon-Brabant;0.0;5.29;0.0;0.0;0.0;122.48;0.0
2022-06-22T20:30:00+02:00;PT15M;Flemish-Brabant;0.0;23.29;0.0;0.0;0.0;514.58;0.0
2022-06-22T20:30:00+02:00;PT15M;Luxembourg;0.0;5.59;0.0;0.0;0.0;153.14;0.0
2022-06-22T20:30:00+02:00;PT15M;West-Flanders;0.0;47.72;0.0;0.0;0.0;944.04;0.0
2022-06-22T20:30:00+02:00;PT15M;Liège;0.0;21.23;0.0;0.0;0.0;634.93;0.0
2022-06-22T20:30:00+02:00;PT15M;Namur;0.0;8.01;0.0;0.0;0.0;195.15;0.0
2022-06-22T20:15:00+02:00;PT15M;Belgium;0.0;350.71;0.0;0.0;0.0;6004.92;0.0
2022-06-22T20:15:00+02:00;PT15M;Wallonia;0.0;78.24;0.0;0.0;0.0;1536.84;0.0
2022-06-22T20:15:00+02:00;PT15M;Namur;0.0;10.81;0.0;0.0;0.0;195.15;0.0
2022-06-22T20:15:00+02:00;PT15M;Liège;0.0;29.12;0.0;0.0;0.0;634.93;0.0
2022-06-22T20:15:00+02:00;PT15M;Luxembourg;0.0;7.46;0.0;0.0;0.0;153.14;0.0
2022-06-22T20:15:00+02:00;PT15M;Flemish-Brabant;0.0;30.52;0.0;0.0;0.0;514.58;0.0
2022-06-22T20:15:00+02:00;PT15M;Hainaut;0.0;23.91;0.0;0.0;0.0;431.13;0.0
2022-06-22T20:15:00+02:00;PT15M;Walloon-Brabant;0.0;6.95;0.0;0.0;0.0;122.48;0.0
2022-06-22T20:15:00+02:00;PT15M;Flanders;0.0;264.93;0.0;0.0;0.0;4339.61;0.0
2022-06-22T20:15:00+02:00;PT15M;Brussels;0.0;7.54;0.0;0.0;0.0;128.47;0.0
2022-06-22T20:15:00+02:00;PT15M;Antwerp;0.0;68.63;0.0;0.0;0.0;1129.31;0.0
2022-06-22T20:15:00+02:00;PT15M;East-Flanders;0.0;71.02;0.0;0.0;0.0;1127.04;0.0
2022-06-22T20:15:00+02:00;PT15M;Limburg;0.0;34.17;0.0;0.0;0.0;624.64;0.0
2022-06-22T20:15:00+02:00;PT15M;West-Flanders;0.0;60.59;0.0;0.0;0.0;944.04;0.0
2022-06-22T20:00:00+02:00;PT15M;Liège;0.0;37.36;0.0;0.0;0.0;634.93;0.0
2022-06-22T20:00:00+02:00;PT15M;Luxembourg;0.0;9.25;0.0;0.0;0.0;153.14;0.0
2022-06-22T20:00:00+02:00;PT15M;Walloon-Brabant;0.0;8.55;0.0;0.0;0.0;122.48;0.0
2022-06-22T20:00:00+02:00;PT15M;Flemish-Brabant;0.0;37.39;0.0;0.0;0.0;514.58;0.0
